workerid,strong_adjective,not_paid_attention,condition_prosody,responsequestion,exchange,question,pre_check_response,condition_knowledge,weak_adjective,context,time,num_plays,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.hit_information,Answer.time_in_minutes
0,hot,False,neutral,Does Julie mean that her date was hot?,Mike: Was your date hot?,Did Julie recently go on a date?,yes,know,good-looking,"Mike and Julie meet for lunch. Julie, who recently got out of a long term relationship, lost a lot of weight and changed her look. She has started to go on more dates to try to get over her ex. She tells Mike about one of her dates that she went on a couple of days ago.",17558,1,0.51,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,filthy,False,RFR,Does Julie mean that his carpet was filthy?,Stan: Was his carpet filthy?,Did Julie notice that her house was not clean?,no,ignorant,dirty,"Mike had to go out of town on an extended business trip. He gave his brother a key to his house to water his plants and feed his cats. Upon coming back, he noticed that his brother might have had a party in his house while he was away. Upon getting home, Mike got a call from Julie asking him out to drinks that night. Mike quickly told her no and explained over the phone what had happened. Later that night at the bar, Julie told her friend Stan what had happened to Mike.",45870,1,0.47,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,impeccible,False,neutral,Does Julie mean that his speech was impeccible?,Stan: Was his speech impeccible?,Did Julie give a speech?,no,ignorant,polished,"As president of the student body, Mike gives a speech to all of the current graduates. Unfortunately, Julie couldn&quotechart attend, but ran into someone in the audience at a busy work confernce. She told Julie that she liked Mike&quotechars speech, but didn&quotechart go into much detail. The next day at breakfast, Stan asks Julie about Mike&quotechars speech.",18651,1,0.41,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,famous,False,RFR,Does Julie mean that her boss is famous?,Mike: Is your boss famous?,Does Julie work at a law firm?,yes,know,prominent,"Julie has a new internship at a law firm, one of the best in the city. Because there was a lot competition to get the position, she was quite anxious about her first day. After work, she meets up with Mike and tells him about her first day, specifically about the people she works with.",25792,1,0.55,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,terrifying,False,filler,Does Julie mean that her opponent was intimidating?,Mike: Was your opponent intimidating?,Does Julie like kickboxing?,yes,know,intimidating,"Julie is an amateur kickboxer and had just got back from a regional tournement. She did well, but lost in the semifinals. It was a touch match, but it reaffirmed her passion for kickboxing and she was proud of herself for making for making it so far in the competition. Later in the week, Julie sees her friend Mike and tells him about her last fight.",18351,1,0.99,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,decrepit,False,neutral,Does Julie mean that his house is decrepit?,Stan: Is his house decrepit?,Did Julie go on a trip?,no,ignorant,shabby,"Several months after his uncle passed away, Mike goes to see his uncle&quotechars old house, which Mike just inherted, in the next state over and helps prepare it to be sold. On his way back, he sees his friend Julie at the grocery store and briefly tells her about it. Upon getting home, Julie tells her boyfriend Stan what she gathered about Mike&quotechars newly acquired house.",27750,1,0.48,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,hysterical,False,filler,Does Julie mean that his patient was anxious?,Stan: Was his patient  anxious?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",27550,1,1,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,hideous,False,filler,Does Julie mean that his bridesmaid dress ugly?,Stan: Was his bridesmaid dress ugly?,Did Julie choose the bridesmaid dress?,no,ignorant,ugly,"Mike&quotechars friend Sophie is getting married and as a joke, he bought a bridesmaid dress and surprised her at the wedding rehearsal dressed in drag. A friend of Julie&quotechars was at the rehearsal and told her about Mike&quotechars prank, but really only mentioned that he was in drag. The next day, Julie gets lunch with her boyfriend Stan and tells him about the prank.",26161,1,0.98,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,articulate,False,RFR,Does Julie mean that her interview was articulate?,Mike: Was your interview articulate?,Did Julie give a speech about scientific findings?,yes,know,understandable,"Julie had an important interview at at for a job in communications. As part of her interview, Julie had to give a speech explaining several complicated scientifc findings as part of a mock press conference. After the interview, she met up with friend Mike, who had helped her prepare for the interview, for a coffee and told him how her interview went.",22439,1,0.48,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
0,heavy,False,control,Does Julie mean that her suitcase was light?,Mike: Was your suitcase light?,Did Julie travel to Australia?,yes,know,light,"Julie was on vacation in Australia. Because it was rainy season, she had to take lots of clothes with her and had to lug around a suitcase because she didn&quotechart have a backpack big enough. After the trip, she meets up with her friend Mike and tell him about her trip back.",17985,1,0.9,English ,2,Male,63,,Yes,2,an unknown OS,1024,768,Safari,3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3ZBZJNFB566Q67LFUUFICOI9DSLFTT,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.00,Mon Dec 04 10:30:58 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jan 03 10:30:58 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3JGHED38ECQPJ9WKTPZOCX4GKO1Y7Y,3DYGAII7PL782X7SO3HDNHOOQC6QP6,0,Submitted,Tue Dec 05 03:23:53 PST 2017,Mon Dec 04 10:31:12 PST 2017,Mon Dec 04 10:43:53 PST 2017,,,,,,undefined,undefined,9.805233333333334
