workerid,strong_adjective,not_paid_attention,condition_prosody,responsequestion,exchange,question,pre_check_response,condition_knowledge,weak_adjective,valence,context,time,num_plays,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.hit_information,Answer.time_in_minutes
0,hysterical,FALSE,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",9048,1,0.74,11,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366667
1,hysterical,TRUE,filler,Does Julie mean that his patient was anxious?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",10794,2,0.72,23,english,1,Male,23,,Yes,3,Mac,900,1440,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3VW04L3ZLT6DV4RMBQSRFALOFEOXXL,1,Submitted,Tue Dec 12 03:45:06 PST 2017,Mon Dec 11 10:59:07 PST 2017,Mon Dec 11 11:05:06 PST 2017,,,,,,undefined,undefined,5.4495
2,hysterical,FALSE,RFR,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",20696,1,0.85,5,English,1,Female,39,,Yes,1,Windows,768,1366,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3JAOYWH7VI4SUESZURJPOD4J12NL94,2,Submitted,Tue Dec 12 03:45:59 PST 2017,Mon Dec 11 10:59:06 PST 2017,Mon Dec 11 11:05:59 PST 2017,,,,,,undefined,undefined,6.805983333
3,hysterical,FALSE,RFR,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",19359,1,0.49,13,English,1,Male,29,,Yes,3,Windows,1280,1600,Firefox,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3CPLWGV3MOZIIEVK64Z415886XNN98,3,Submitted,Tue Dec 12 03:46:17 PST 2017,Mon Dec 11 10:59:08 PST 2017,Mon Dec 11 11:06:17 PST 2017,,,,,,undefined,undefined,7.08235
4,hysterical,FALSE,filler,Does Julie mean that her patient was anxious?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",13056,1,0.82,20,English,1,Female,24,Thank you!,Yes,3,Windows,1080,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,32N49TQG3GI9V2EY01ZV7HD5YI7VAC,4,Submitted,Tue Dec 12 03:46:48 PST 2017,Mon Dec 11 10:59:10 PST 2017,Mon Dec 11 11:06:48 PST 2017,,,,,,undefined,undefined,7.558566667
5,hysterical,FALSE,RFR,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",4405,0,0.09,24,English,1,Male,22,,Yes,2,Windows,1080,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3Y4W8Q93LZK7T9HAKBQXXILBJL4VDE,5,Submitted,Tue Dec 12 03:47:24 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:07:24 PST 2017,,,,,,undefined,undefined,5.229283333
6,hysterical,FALSE,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",20084,1,0.32,13,English,2,Female,24,,Yes,2,Linux,768,1366,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3K5TEWLKGVBO1KXWCPR8OF1OBQCIV3,6,Submitted,Tue Dec 12 03:47:51 PST 2017,Mon Dec 11 10:59:06 PST 2017,Mon Dec 11 11:07:51 PST 2017,,,,,,undefined,undefined,8.6736
7,hysterical,FALSE,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",22728,1,0.34,8,English,2,Male,31,,Yes,3,Linux,864,1536,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3FE7TXL1LINSLRND1NC6VCVZ520Q26,7,Submitted,Tue Dec 12 03:47:59 PST 2017,Mon Dec 11 10:59:19 PST 2017,Mon Dec 11 11:07:59 PST 2017,,,,,,undefined,undefined,8.6159
8,hysterical,FALSE,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",22641,2,0.61,23,english,2,Female,30,thank you!,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3SB5N7Y3O34UCSQLJ43GIAYI2H80G2,8,Submitted,Tue Dec 12 03:49:10 PST 2017,Mon Dec 11 10:59:18 PST 2017,Mon Dec 11 11:09:10 PST 2017,,,,,,undefined,undefined,8.179466667
9,hysterical,FALSE,RFR,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",22303,1,0.62,21,English,1,Female,44,,Yes,3,Windows,900,1440,Firefox,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,30MVJZJNHMDMZO4ZR67C8YRRXDIJ90,9,Submitted,Tue Dec 12 03:49:15 PST 2017,Mon Dec 11 10:59:17 PST 2017,Mon Dec 11 11:09:15 PST 2017,,,,,,undefined,undefined,9.86505
