workerid,strong_adjective,not_paid_attention,condition_prosody,responsequestion,exchange,question,pre_check_response,condition_knowledge,weak_adjective,context,time,num_plays,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.hit_information,Answer.time_in_minutes
0,hilarious,False,neutral,Does Julie mean that his blog post was hilarious?,Stan: What is his new blog post like?,Does Julie read and write for a comedy blog?,no,ignorant,funny,"Mike decides to start a blog about his life trying to make it as a comedian in the city. Julie, who has not yet read the blog, runs into Mike at a coffee house. Waiting in line, Mike, who is very talkative, goes on a rant about his blog. Julie doesn&quotechart like stand up so much, so she kind of tunes him out. When Julie gets home, she tells Stan what she remembers about her encounter with Mike.",19206,1,0.74,3,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,hideous,False,neutral,Does Julie mean that his bridesmaid dress hideous?,Stan: What did his bridesmaid dress look like?,Did Julie choose her bridesmaid dress?,no,ignorant,ugly,"Mike&quotechars friend Sophie is getting married and as a joke, he bought a bridesmaid dress and surprised her at the wedding rehearsal dressed in drag. A friend of Julie&quotechars was at the rehearsal and told her about Mike&quotechars prank, but really only mentioned that he was in drag. The next day, Julie gets lunch with her boyfriend Stan and tells him about the prank.",19026,1,0.71,4,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,lethargic,True,control,Does Julie mean that his boss is energetic?,Stan: What is his new boss like?,Does Julie&quotechars boss have 5 kids?,no,ignorant,energetic,"Mike has a new job. After his first day, he calls his friend Julie and tells her about it and specifically his new boss. He works a lot and so does his partner. They have 5 kids. After hanging up the phone, Julie tells her boyfriend Stan about Mike&quotechars new job.",22045,1,0.27,5,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,decrepit,False,RFR,Does Julie mean that her house is decrepit?,Mike: What does your new house look like?,Did Julie go on a trip?,yes,know,shabby,"Several months after her dad passed away, Julie becomes owner of her dad&quotechars lake house. She hadn&quotechart seen it in several years and goes on a trip to check it out. Upon getting back, she hangs out with her friend Mike and tells him about the state of her newly acquired property.",29165,1,0.63,6,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,respectful,False,control,Does Julie mean that his brother is rude?,Stan: What was his brother&quotechars behavior like?,Is Julie&quotechars brother talkative?,no,ignorant,rude,"Mike and his brother are visting several buddist temples in Thailand. Apart from wearing appropriate clothing upon entering the temples, there are several other traditions to respect such as not being loud. The problem is that Mike&quotechars brother is quite talkative. Upon getting home, Mike sees Julie at the the supermarket and tells her about this trip with his brother. Later, when Julie gets home, she tells her boyfriend Stan about Mike&quotechars trip.",10160,1,0,7,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,starving,False,RFR,Does Julie mean that her dog was starving?,Mike: What did your dog feel like?,Did Julie feed a dog?,yes,know,hungry,"Stan forgets to feed his dog in the morning before work, so he asks his girlfriend Julie to do it during her lunch break. On her way back to work and annoyed that she couldn&quotechart eat lunch with her colleagues, she sees her friend Mike and tells him about feeding the dog.",8489,1,0.68,8,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,heavy,False,control,Does Julie mean that her suitcase was light?,Mike: What was your suitcase like?,Did Julie travel to Australia?,yes,know,light,"Julie was on vacation in Australia. Because it was rainy season, she had to take lots of clothes with her and had to lug around a suitcase because she didn&quotechart have a backpack big enough. After the trip, she meets up with her friend Mike and tell him about her trip back.",8122,1,0.19,9,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,beautiful,False,filler,Does Julie mean that her sister is attractive?,Mike: What does your sister look like?,Is Julie&quotechars sister looking for a date?,yes,know,attractive,"Julie&quotechars sister is in town to visit. She is currently between relationships and wouldn&quotechart mind going out on a date during her visit. During a break at work, Julie has a coffee with Mike and asks him whether some of his single friends that might be interested in a blind date with her sister. Mike asks Julie several questions about her sister.",11024,1,1,10,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,hysterical,False,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",9048,1,0.74,11,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
0,famous,False,RFR,Does Julie mean that her boss is famous?,Mike: What&quotechars your new boss like?,Does Julie work at a law firm?,yes,know,prominent,"Julie has a new internship at a law firm, one of the best in the city. Because there was a lot competition to get the position, she was quite anxious about her first day. After work, she meets up with Mike and tells him about her first day, specifically about the people she works with.",11148,1,0.84,12,english,1,Male,24,,Yes,3,Mac,800,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34S6N1K2ZVJL9KAIS37H1U27KFVLHU,0,Submitted,Tue Dec 12 03:44:00 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:04:00 PST 2017,,,,,,undefined,undefined,4.558366666666666
