"workerid","strong_adjective","not_paid_attention","condition_prosody","responsequestion","exchange","question","setup_phrase","condition_knowledge","weak_adjective","context","time","response","slide_number_in_experiment","language","enjoyment","gender","age","comments","asses","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.condition","Answer.hit_information","Answer.time_in_minutes"
70,"""articulate""","false","""RFR""","""Does Julie mean that her presentation was articulate?""","""Mike: What was your presentation for your job interview like?""","""Did Julie give a speech about scientific findings?""","""Believe me,""","""know""","""understandable""","""Julie is at home with her roommate Mike. She tells Mike, who knows Julie tends to get quite anxious in stressful situations, about a recent high-stakes interview she had for a job in communications.""",3383,0.87,3,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""filthy""","false","""RFR""","""Does Julie mean that his carpet was filthy?""","""Stan: What did his carpet look like?""","""Did Julie notice that her house was not clean?""","""I don&quotechart know for sure, but""","""ignorant""","""dirty""","""Julie is having coffee with Stan. She tells him about their friend Mike, whose AirBnB guests had a huge party in his recently re-carpeted apartment.""",8266,0.7,4,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""brilliant""","false","""neutral""","""Does Julie mean that his professor was brilliant?""","""Stan: What is his new professor like?""","""Is Julie taking computer programming classes?""","""I don&quotechart know for sure, but""","""ignorant""","""intelligent""","""Julie and Stan are relaxing at home. They discuss their mutual friend Mike, who told Julie yesterday about the programming class he just started attending at the local community college.""",7134,0.64,5,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""hot""","false","""neutral""","""Does Julie mean that her date was hot?""","""Mike: What did your date look like?""","""Did Julie recently go on a date?""","""Believe me,""","""know""","""good-looking""","""Mike and his friend Julie meet for lunch. Julie tells Mike about a recent date she had with someone Mike has never met.""",5483,0.7,6,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""disgusting""","false","""filler""","""Does Julie mean that her AirBnB was unpleasant?""","""Mike: What was your AirBnB like?""","""Did Julie have a mold problem in her old apartment?""","""Believe me,""","""know""","""unpleasant""","""Mike and Julie are two friends at a party. Julie tells him that she was pretty unsatisfied with the AirBnB she booked on her last vacation.""",3320,0.8,7,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""hysterical""","false","""neutral""","""Does Julie mean that his patient was hysterical?""","""Stan: What did his patient feel like?""","""Does Julie know exactly what state the patient was in?""","""I don&quotechart know for sure, but""","""ignorant""","""anxious""","""Julie is having lunch with Stan. She tells him about their friend Mike, who is a doctor and had to calm down a difficult patient today.""",23145,0.68,8,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""hilarious""","false","""filler""","""Does Julie mean that his blog post was funny?""","""Stan: What is his new tweet like?""","""Does Julie read and write for a comedy blog?""","""I don&quotechart know for sure, but""","""ignorant""","""funny""","""Julie is at a party with her friend Stan. She tells him about their mutual friend Mike, a professional comedian whose latest tweet Julie has not yet read.""",3891,0.73,9,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""beautiful""","false","""filler""","""Does Julie mean that his sister is attractive?""","""Stan: What does his sister look like?""","""Does Julie know exactly what Donna looks like?""","""I don&quotechart know for sure, but""","""ignorant""","""attractive""","""Julie is having a drink with Stan. She tells him that their friend Mike&quotechars sister Donna is in town to visit.""",3172,0.83,10,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""terrifying""","false","""RFR""","""Does Julie mean that his opponent was terrifying?""","""Stan: What was his last opponent in the ring like?""","""Does Julie kickbox?""","""I don&quotechart know for sure, but""","""ignorant""","""intimidating""","""Julie and Stan are having breakfast at home. She tells him about their mutual friend Mike, an amateur kickboxer who Julie recently got coffee with after his most recent out-of-town match.""",3395,0.8,11,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
70,"""life-threatening""","false","""RFR""","""Does Julie mean that his illness was life-threatening?""","""Stan: What was the degree of his illness?""","""Did Julie recieve a diagnosis from the doctors?""","""I don&quotechart know for sure, but""","""ignorant""","""serious""","""Julie is hanging out with Stan. The two discuss their mutual friend Mike, who recently informed Julie that he had to spend some time in the hospital after falling ill on vacation.""",3094,0.71,12,"""English""","""1""","""Female""","""24""","""""","""Yes""","""3""","""Mac""",1152,2048,"""Chrome""","""31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3MCFX9UVS0KBPU0GQ31JRM996HG68D""","""Language study""","""Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.""","""language research stanford fun cognitive science university""","""$1.20""","""Fri May 25 14:24:45 PDT 2018""","""2""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""2400""","""60000""","""Sun Jun 24 14:24:45 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31ODACBENTE2T5PQQIG5U2XBMI9SQI""","""3P59JYT76LJP26YE390WW9RL9DUT25""",0,"""Submitted""","""Sat May 26 07:12:50 PDT 2018""","""Fri May 25 14:25:24 PDT 2018""","""Fri May 25 14:32:50 PDT 2018""","""""","""""","""""","""""","""""","""undefined""","""undefined""","""2.723116666666667"""
